100	1000	1e-08	1e-05	0.01	-0.001	13	0.00396154	0.103	1.61898e-05
200	1000	1e-08	1e-05	0.01	-0.001	23	0.00926087	0.426	2.66397e-05
300	1000	1e-08	1e-05	0.01	-0.001	21	0.0143571	0.603	3.62196e-05
400	1000	1e-08	1e-05	0.01	-0.001	15	0.0194333	0.583	5.46295e-05
500	1000	1e-08	1e-05	0.01	-0.001	26	0.0145	0.754	7.53592e-05
600	1000	1e-08	1e-05	0.01	-0.001	24	0.0234167	1.124	8.42792e-05
700	1000	1e-08	1e-05	0.01	-0.001	29	0.023931	1.388	9.6949e-05
800	1000	1e-08	1e-05	0.01	-0.001	19	0.0390263	1.483	0.000100689
900	1000	1e-08	1e-05	0.01	-0.001	21	0.044	1.848	9.9469e-05
1000	1000	1e-08	1e-05	0.01	-0.001	25	0.0317	1.585	0.000114739
1100	1000	1e-08	1e-05	0.01	-0.001	25	0.03722	1.861	0.000124129
1200	1000	1e-08	1e-05	0.01	-0.001	31	0.028871	1.79	0.000121999
1300	1000	1e-08	1e-05	0.01	-0.001	28	0.0343036	1.921	0.000137129
1400	1000	1e-08	1e-05	0.01	-0.001	29	0.0377414	2.189	0.000148649
1500	1000	1e-08	1e-05	0.01	-0.001	30	0.0462333	2.774	0.000157188
1600	1000	1e-08	1e-05	0.01	-0.001	26	0.0611154	3.178	0.000178228
1700	1000	1e-08	1e-05	0.01	-0.001	19	0.0808158	3.071	0.000180218
1800	1000	1e-08	1e-05	0.01	-0.001	29	0.053431	3.099	0.000188208
1900	1000	1e-08	1e-05	0.01	-0.001	34	0.0536765	3.65	0.000207228
2000	1000	1e-08	1e-05	0.01	-0.001	27	0.0742963	4.012	0.000233218
2100	1000	1e-08	1e-05	0.01	-0.001	30	0.0695667	4.174	0.000233938
2200	1000	1e-08	1e-05	0.01	-0.001	36	0.056375	4.059	0.000244518
2300	1000	1e-08	1e-05	0.01	-0.001	31	0.0688548	4.269	0.000248298
2400	1000	1e-08	1e-05	0.01	-0.001	32	0.0820469	5.251	0.000266487
2500	1000	1e-08	1e-05	0.01	-0.001	35	0.0817571	5.723	0.000276197
2600	1000	1e-08	1e-05	0.01	-0.001	30	0.0990167	5.941	0.000292337
2700	1000	1e-08	1e-05	0.01	-0.001	22	0.122864	5.406	0.000295667
2800	1000	1e-08	1e-05	0.01	-0.001	31	0.0872581	5.41	0.000300657
2900	1000	1e-08	1e-05	0.01	-0.001	36	0.0902639	6.499	0.000308927
3000	1000	1e-08	1e-05	0.01	-0.001	34	0.0871324	5.925	0.000325217
3100	1000	1e-08	1e-05	0.01	-0.001	46	0.065913	6.064	0.000319627
3200	1000	1e-08	1e-05	0.01	-0.001	34	0.0986029	6.705	0.000334677
3300	1000	1e-08	1e-05	0.01	-0.001	37	0.0911351	6.744	0.000327157
3400	1000	1e-08	1e-05	0.01	-0.001	38	0.0861184	6.545	0.000325657
3500	1000	1e-08	1e-05	0.01	-0.001	33	0.107621	7.103	0.000322847
3600	1000	1e-08	1e-05	0.01	-0.001	29	0.114776	6.657	0.000327917
3700	1000	1e-08	1e-05	0.01	-0.001	35	0.0884857	6.194	0.000338017
3800	1000	1e-08	1e-05	0.01	-0.001	37	0.093973	6.954	0.000325127
3900	1000	1e-08	1e-05	0.01	-0.001	36	0.110972	7.99	0.000336797
4000	1000	1e-08	1e-05	0.01	-0.001	34	0.120397	8.187	0.000338757
4100	1000	1e-08	1e-05	0.01	-0.001	33	0.125939	8.312	0.000333917
4200	1000	1e-08	1e-05	0.01	-0.001	35	0.117271	8.209	0.000337557
4300	1000	1e-08	1e-05	0.01	-0.001	42	0.110536	9.285	0.000343907
4400	1000	1e-08	1e-05	0.01	-0.001	39	0.117295	9.149	0.000352856
4500	1000	1e-08	1e-05	0.01	-0.001	37	0.122622	9.074	0.000345767
4600	1000	1e-08	1e-05	0.01	-0.001	39	0.116538	9.09	0.000359066
4700	1000	1e-08	1e-05	0.01	-0.001	38	0.117671	8.943	0.000362816
4800	1000	1e-08	1e-05	0.01	-0.001	33	0.13647	9.007	0.000364406
100	1000	1e-08	1e-05	0.01	-0.001	11	0.00686364	0.151	2.28798e-05
200	1000	1e-08	1e-05	0.01	-0.001	28	0.0156071	0.874	3.20297e-05
300	1000	1e-08	1e-05	0.01	-0.001	20	0.02285	0.914	5.43695e-05
400	1000	1e-08	1e-05	0.01	-0.001	25	0.02702	1.351	6.58293e-05
500	1000	1e-08	1e-05	0.01	-0.001	28	0.0240536	1.347	7.56392e-05
600	1000	1e-08	1e-05	0.01	-0.001	17	0.0313529	1.066	8.49192e-05
700	1000	1e-08	1e-05	0.01	-0.001	14	0.0384643	1.077	9.8019e-05
800	1000	1e-08	1e-05	0.01	-0.001	24	0.0224583	1.078	0.000102139
900	1000	1e-08	1e-05	0.01	-0.001	28	0.0262679	1.471	0.000102859
1000	1000	1e-08	1e-05	0.01	-0.001	25	0.02824	1.412	0.000107669
1100	1000	1e-08	1e-05	0.01	-0.001	17	0.0534706	1.818	8.78191e-05
1200	1000	1e-08	1e-05	0.01	-0.001	24	0.0415625	1.995	0.000105699
1300	1000	1e-08	1e-05	0.01	-0.001	27	0.0491852	2.656	0.000116829
1400	1000	1e-08	1e-05	0.01	-0.001	21	0.0611905	2.57	0.000116639
